column,dtype,null_count,null_rate,n_unique,min,p50,max
ratio_mh_numcontcred_hip,double precision,11911,0.284238,20639,0.0,0.4539695,7.969863
ratio_mh_numtar_deb,double precision,360,0.008591,38264,0.0,0.812786,12.22915
ratio_mh_numtar_cred,double precision,2875,0.068608,35832,0.0,0.7664225,11.595952
ever_alcaldesa,bigint,0,0.0,2,0.0,0.0,1.0
alcaldesa_acumulado,bigint,0,0.0,18,0.0,0.0,17.0
ncont_ahorro_m_pc_asinh,double precision,0,0.0,2217,0.0,0.0,8.85805067622789
ncont_ahorro_h_pc_asinh,double precision,0,0.0,2301,0.0,0.0,8.19809317717564
ncont_ahorro_t_pc_asinh,double precision,0,0.0,2420,0.0,0.0,8.221759786522167
ncont_plazo_m_pc_asinh,double precision,0,0.0,16248,0.0,0.0,9.82357404528284
ncont_plazo_h_pc_asinh,double precision,0,0.0,15816,0.0,0.0,11.532717958977852
ncont_plazo_t_pc_asinh,double precision,0,0.0,16782,0.0,0.0,10.787848536843253
ncont_n1_m_pc_asinh,double precision,0,0.0,958,0.0,0.0,7.605451545607581
ncont_n1_h_pc_asinh,double precision,0,0.0,1718,0.0,0.0,10.715715677708404
ncont_n1_t_pc_asinh,double precision,0,0.0,1875,0.0,0.0,10.000330749640774
ncont_n2_m_pc_asinh,double precision,0,0.0,35206,0.0,6.536193865042854,12.537102275155215
ncont_n2_h_pc_asinh,double precision,0,0.0,34681,0.0,6.519777581884239,12.51089109178889
ncont_n2_t_pc_asinh,double precision,0,0.0,36403,0.0,6.617971180339104,12.52518130614877
ncont_n3_m_pc_asinh,double precision,0,0.0,5669,0.0,0.0,10.688615682220604
ncont_n3_h_pc_asinh,double precision,0,0.0,6235,0.0,0.0,11.546350751743272
ncont_n3_t_pc_asinh,double precision,0,0.0,6625,0.0,0.0,11.17867133432766
ncont_tradic_m_pc_asinh,double precision,0,0.0,17990,0.0,0.0,12.537436371629633
ncont_tradic_h_pc_asinh,double precision,0,0.0,17966,0.0,0.0,12.606720695565393
ncont_tradic_t_pc_asinh,double precision,0,0.0,18138,0.0,0.0,12.574467816905027
ncont_total_m_pc_asinh,double precision,0,0.0,35554,0.0,7.04796326897408,12.790740064535717
ncont_total_h_pc_asinh,double precision,0,0.0,35036,0.0,7.008764374460834,13.35285125906105
ncont_total_t_pc_asinh,double precision,0,0.0,36700,0.0,7.065597013323085,13.10205581602255
saldocont_ahorro_m_pc_asinh,double precision,0,0.0,2324,0.0,0.0,19.21625836322925
saldocont_ahorro_h_pc_asinh,double precision,0,0.0,2391,0.0,0.0,18.149888967325666
saldocont_ahorro_t_pc_asinh,double precision,0,0.0,2608,0.0,0.0,18.55712517511098
saldocont_plazo_m_pc_asinh,double precision,0,0.0,17573,0.0,0.0,23.01996319514952
saldocont_plazo_h_pc_asinh,double precision,0,0.0,17640,0.0,0.0,23.278787135776142
saldocont_plazo_t_pc_asinh,double precision,0,0.0,17980,0.0,0.0,23.627915378973874
saldocont_n1_m_pc_asinh,double precision,0,0.0,1266,0.0,0.0,15.10046037433169
saldocont_n1_h_pc_asinh,double precision,0,0.0,2672,0.0,0.0,16.854232599467768
saldocont_n1_t_pc_asinh,double precision,0,0.0,3018,0.0,0.0,16.089442867957573
saldocont_n2_m_pc_asinh,double precision,0,0.0,39983,0.0,12.36011918081009,20.50897955674188
saldocont_n2_h_pc_asinh,double precision,0,0.0,39440,0.0,12.565093121269488,20.098327132979147
saldocont_n2_t_pc_asinh,double precision,0,0.0,40829,0.0,12.587442930164777,20.203300445675115
saldocont_n3_m_pc_asinh,double precision,0,0.0,6651,0.0,0.0,18.394590816660155
saldocont_n3_h_pc_asinh,double precision,0,0.0,7176,0.0,0.0,19.302398193739165
saldocont_n3_t_pc_asinh,double precision,0,0.0,7440,0.0,0.0,18.895938198085908
